1771543,18.07.16,LIMS-Aliquot,668,2016-08-01,08:54:44,12,188,0.234
1771544,18.07.16,LIMS-Aliquot,668,2016-08-01,08:55:50,12,188,0.242
1771518,18.07.16,LIMS-Aliquot,668,2016-08-01,08:56:41,12,188,0.32
1771208,18.07.16,LIMS-Aliquot,668,2016-08-01,08:57:54,12,188,0.32
1771661,18.07.16,LIMS-Aliquot,668,2016-08-01,08:59:12,12,188,0.172
1771660,18.07.16,LIMS-Aliquot,668,2016-08-01,09:00:06,12,188,0.178
1771316,18.07.16,LIMS-Aliquot,668,2016-08-01,09:01:10,12,188,0.384
1771434,18.07.16,LIMS-Aliquot,668,2016-08-01,09:02:18,12,188,0.432
1771314,18.07.16,LIMS-Aliquot,668,2016-08-01,09:03:32,12,188,0.444
1771856,18.07.16,LIMS-Aliquot,668,2016-08-01,09:04:50,12,188,0.326
1771362,18.07.16,LIMS-Aliquot,668,2016-08-01,09:06:10,12,188,0.368
1771337,18.07.16,LIMS-Aliquot,668,2016-08-01,09:07:22,12,188,0.338
1771724,18.07.16,LIMS-Aliquot,668,2016-08-01,09:08:11,12,188,0.42
1771612,18.07.16,LIMS-Aliquot,668,2016-08-01,09:09:24,12,188,0.488
1771539,18.07.16,LIMS-Aliquot,668,2016-08-01,09:10:23,12,188,0.218
1771880,18.07.16,LIMS-Aliquot,668,2016-08-01,09:27:30,12,188,0.304
1771878,18.07.16,LIMS-Aliquot,668,2016-08-01,09:30:23,12,188,0.272
1771867,18.07.16,LIMS-Aliquot,668,2016-08-01,09:31:22,12,188,0.412
1771119,18.07.16,LIMS-Aliquot,668,2016-08-01,09:32:58,12,188,0.456
1771207,18.07.16,LIMS-Aliquot,668,2016-08-01,09:33:55,12,188,0.214
1771540,18.07.16,LIMS-Aliquot,668,2016-08-01,09:34:54,12,188,0.306
1771372,18.07.16,LIMS-Aliquot,668,2016-08-01,09:35:53,12,188,0.332
1771695,18.07.16,LIMS-Aliquot,668,2016-08-01,09:37:21,12,188,0.318
1771623,18.07.16,LIMS-Aliquot,668,2016-08-01,09:38:17,12,188,0.426
1771628,18.07.16,LIMS-Aliquot,668,2016-08-01,09:39:23,12,188,0.45
1771363,18.07.16,LIMS-Aliquot,668,2016-08-01,09:41:04,12,188,0.432
1771543,18.07.16,LIMS-Aliquot,668,2016-08-01,08:54:44,12,52,12
1771544,18.07.16,LIMS-Aliquot,668,2016-08-01,08:55:50,12,52,11
1771518,18.07.16,LIMS-Aliquot,668,2016-08-01,08:56:41,12,52,11
1771208,18.07.16,LIMS-Aliquot,668,2016-08-01,08:57:54,12,52,20
1771661,18.07.16,LIMS-Aliquot,668,2016-08-01,08:59:12,12,52,8
1771660,18.07.16,LIMS-Aliquot,668,2016-08-01,09:00:06,12,52,10
1771316,18.07.16,LIMS-Aliquot,668,2016-08-01,09:01:10,12,52,14
1771434,18.07.16,LIMS-Aliquot,668,2016-08-01,09:02:18,12,52,16
1771314,18.07.16,LIMS-Aliquot,668,2016-08-01,09:03:32,12,52,17
1771856,18.07.16,LIMS-Aliquot,668,2016-08-01,09:04:50,12,52,10
1771362,18.07.16,LIMS-Aliquot,668,2016-08-01,09:06:10,12,52,13
1771337,18.07.16,LIMS-Aliquot,668,2016-08-01,09:07:22,12,52,10
1771724,18.07.16,LIMS-Aliquot,668,2016-08-01,09:08:11,12,52,7
1771612,18.07.16,LIMS-Aliquot,668,2016-08-01,09:09:24,12,52,14
1771539,18.07.16,LIMS-Aliquot,668,2016-08-01,09:10:23,12,52,12
1771880,18.07.16,LIMS-Aliquot,668,2016-08-01,09:27:30,12,52,15
1771878,18.07.16,LIMS-Aliquot,668,2016-08-01,09:30:23,12,52,14
1771867,18.07.16,LIMS-Aliquot,668,2016-08-01,09:31:22,12,52,21
1771119,18.07.16,LIMS-Aliquot,668,2016-08-01,09:32:58,12,52,17
1771207,18.07.16,LIMS-Aliquot,668,2016-08-01,09:33:55,12,52,14
1771540,18.07.16,LIMS-Aliquot,668,2016-08-01,09:34:54,12,52,12
1771372,18.07.16,LIMS-Aliquot,668,2016-08-01,09:35:53,12,52,14
1771695,18.07.16,LIMS-Aliquot,668,2016-08-01,09:37:21,12,52,10
1771623,18.07.16,LIMS-Aliquot,668,2016-08-01,09:38:17,12,52,11
1771628,18.07.16,LIMS-Aliquot,668,2016-08-01,09:39:23,12,52,13
1771363,18.07.16,LIMS-Aliquot,668,2016-08-01,09:41:04,12,52,15
1771543,18.07.16,LIMS-Aliquot,668,2016-08-01,08:54:44,12,254,7
1771544,18.07.16,LIMS-Aliquot,668,2016-08-01,08:55:50,12,254,7
1771518,18.07.16,LIMS-Aliquot,668,2016-08-01,08:56:41,12,254,4
1771208,18.07.16,LIMS-Aliquot,668,2016-08-01,08:57:54,12,254,16
1771661,18.07.16,LIMS-Aliquot,668,2016-08-01,08:59:12,12,254,3
1771660,18.07.16,LIMS-Aliquot,668,2016-08-01,09:00:06,12,254,7
1771316,18.07.16,LIMS-Aliquot,668,2016-08-01,09:01:10,12,254,4
1771434,18.07.16,LIMS-Aliquot,668,2016-08-01,09:02:18,12,254,9
1771314,18.07.16,LIMS-Aliquot,668,2016-08-01,09:03:32,12,254,8
1771856,18.07.16,LIMS-Aliquot,668,2016-08-01,09:04:50,12,254,4
1771362,18.07.16,LIMS-Aliquot,668,2016-08-01,09:06:10,12,254,6
1771337,18.07.16,LIMS-Aliquot,668,2016-08-01,09:07:22,12,254,3
1771724,18.07.16,LIMS-Aliquot,668,2016-08-01,09:08:11,12,254,5
1771612,18.07.16,LIMS-Aliquot,668,2016-08-01,09:09:24,12,254,4
1771539,18.07.16,LIMS-Aliquot,668,2016-08-01,09:10:23,12,254,8
1771880,18.07.16,LIMS-Aliquot,668,2016-08-01,09:27:30,12,254,11
1771878,18.07.16,LIMS-Aliquot,668,2016-08-01,09:30:23,12,254,10
1771867,18.07.16,LIMS-Aliquot,668,2016-08-01,09:31:22,12,254,11
1771119,18.07.16,LIMS-Aliquot,668,2016-08-01,09:32:58,12,254,9
1771207,18.07.16,LIMS-Aliquot,668,2016-08-01,09:33:55,12,254,11
1771540,18.07.16,LIMS-Aliquot,668,2016-08-01,09:34:54,12,254,6
1771372,18.07.16,LIMS-Aliquot,668,2016-08-01,09:35:53,12,254,7
1771695,18.07.16,LIMS-Aliquot,668,2016-08-01,09:37:21,12,254,1
1771623,18.07.16,LIMS-Aliquot,668,2016-08-01,09:38:17,12,254,4
1771628,18.07.16,LIMS-Aliquot,668,2016-08-01,09:39:23,12,254,7
1771363,18.07.16,LIMS-Aliquot,668,2016-08-01,09:41:04,12,254,9
1771543,18.07.16,LIMS-Aliquot,668,2016-08-01,08:54:44,12,257,0
1771544,18.07.16,LIMS-Aliquot,668,2016-08-01,08:55:50,12,257,0
1771518,18.07.16,LIMS-Aliquot,668,2016-08-01,08:56:41,12,257,1
1771208,18.07.16,LIMS-Aliquot,668,2016-08-01,08:57:54,12,257,0
1771661,18.07.16,LIMS-Aliquot,668,2016-08-01,08:59:12,12,257,0
1771660,18.07.16,LIMS-Aliquot,668,2016-08-01,09:00:06,12,257,0
1771316,18.07.16,LIMS-Aliquot,668,2016-08-01,09:01:10,12,257,6
1771434,18.07.16,LIMS-Aliquot,668,2016-08-01,09:02:18,12,257,1
1771314,18.07.16,LIMS-Aliquot,668,2016-08-01,09:03:32,12,257,7
1771856,18.07.16,LIMS-Aliquot,668,2016-08-01,09:04:50,12,257,1
1771362,18.07.16,LIMS-Aliquot,668,2016-08-01,09:06:10,12,257,0
1771337,18.07.16,LIMS-Aliquot,668,2016-08-01,09:07:22,12,257,0
1771724,18.07.16,LIMS-Aliquot,668,2016-08-01,09:08:11,12,257,2
1771612,18.07.16,LIMS-Aliquot,668,2016-08-01,09:09:24,12,257,1
1771539,18.07.16,LIMS-Aliquot,668,2016-08-01,09:10:23,12,257,0
1771880,18.07.16,LIMS-Aliquot,668,2016-08-01,09:27:30,12,257,1
1771878,18.07.16,LIMS-Aliquot,668,2016-08-01,09:30:23,12,257,1
1771867,18.07.16,LIMS-Aliquot,668,2016-08-01,09:31:22,12,257,2
1771119,18.07.16,LIMS-Aliquot,668,2016-08-01,09:32:58,12,257,0
1771207,18.07.16,LIMS-Aliquot,668,2016-08-01,09:33:55,12,257,0
1771540,18.07.16,LIMS-Aliquot,668,2016-08-01,09:34:54,12,257,1
1771372,18.07.16,LIMS-Aliquot,668,2016-08-01,09:35:53,12,257,0
1771695,18.07.16,LIMS-Aliquot,668,2016-08-01,09:37:21,12,257,0
1771623,18.07.16,LIMS-Aliquot,668,2016-08-01,09:38:17,12,257,1
1771628,18.07.16,LIMS-Aliquot,668,2016-08-01,09:39:23,12,257,1
1771363,18.07.16,LIMS-Aliquot,668,2016-08-01,09:41:04,12,257,2
